0xF6E9  0x32A8        # CIRCLED IDEOGRAPH RIGHT [まるみぎ]
0xF6EA  0x5927+20DD   # CJK UNIFIED IDEOGRAPH-5927 + COMBINING ENCLOSING CIRCLE [まるだい]
0xF6EB  0x5C0F+20DD   # CJK UNIFIED IDEOGRAPH-5COF + COMBINING ENCLOSING CIRCLE [まるしょう]
0xF6EC  0x3299        # CIRCLED IDEOGRAPH SECRET [まるひ]
0xF6ED  0x329E        # CIRCLED IDEOGRAPH PRINT [まるいん]
0xF6EE  0x329F        # CIRCLED IDEOGRAPH ATTENTION [まるちゅう]
0xF6EF  0x65B0+20DD   # CJK UNIFIED IDEOGRAPH-65B0 + COMBINING ENCLOSING CIRCLE [まるしん]
0xF6F0  0x518D+20DD   # CJK UNIFIED IDEOGRAPH-518D + COMBINING ENCLOSING CIRCLE [まるさい]
0xF6F1  0x7981+20DD   # CJK UNIFIED IDEOGRAPH-7981 + COMBINING ENCLOSING CIRCLE [まるきん]
0xF6F2  0x21C4        # RIGHTWARDS ARROW OVER LEFTWARDS ARROW [そうほうこうやじるし]
0xF6F3  0x2194        # LEFT RIGHT ARROW [さゆうやじるし]
0xF6F4  0x2197        # NORTH EAST ARROW [みぎうえやじるし]
0xF6F5  0x2199        # SOUTH WEST ARROW [ひだりしたやじるし]
0xF6F6  0x2198        # SOUTH EAST ARROW [みぎしたやじるし]
0xF6F7  0x2196        # NORTH WEST ARROW [ひだりうえやじるし]
0xF6F8  0x261E        # WHITE RIGHT POINTING INDEX [みぎゆび]
0xF6F9  0x261C        # WHITE LEFT POINTING INDEX [ひだりゆび]
0xF6FA  0x261D        # WHITE UP POINTING INDEX [うえゆび]
0xF6FB  0x261F        # WHITE DOWN POINTING INDEX [したゆび]
0xF740  0x00B9+E01EE  # SUPERSCRIPT ONE [うえいち]
0xF741  0x00B2+E01EE  # SUPERSCRIPT TWO [うえに]
0xF742  0x00B3+E01EE  # SUPERSCRIPT THREE [うえさん]
0xF743  0x2074        # SUPERSCRIPT FOUR [うえよん, うえし]
0xF744  0x2075        # SUPERSCRIPT FIVE [うえご]
0xF745  0x2076        # SUPERSCRIPT SIX [うえろく]
0xF746  0x2077        # SUPERSCRIPT SEVEN [うえなな, うえしち]
0xF747  0x2078        # SUPERSCRIPT EIGHT [うえはち]
0xF748  0x2079        # SUPERSCRIPT NINE [うえきゅう]
0xF749  0x2122        # TRADE MARK SIGN [うえしょうひょう]
0xF74A  0x266F        # MUSIC SHARP SIGN [うえしゃーぷ]
0xF74B  0x266D        # MUSIC FLAT SIGN [うえふらっと]
0xF74C  0x2081        # SUBSCRIPT ONE [したいち]
0xF74D  0x2082        # SUBSCRIPT TWO [したに]
0xF74E  0x2083        # SUBSCRIPT THREE [したさん]
0xF74F  0x2084        # SUBSCRIPT FOUR [したよん, したし]
0xF750  0x2085        # SUBSCRIPT FIVE [したご]
0xF751  0x2086        # SUBSCRIPT SIX [したろく]
0xF752  0x2087        # SUBSCRIPT SEVEN [したなな, したしち]
0xF753  0x2088        # SUBSCRIPT EIGHT [したはち]
0xF754  0x2089        # SUBSCRIPT NINE したきゅう]
0xF755  0x266B        # BEAMED EIGHTH NOTES [にれんふ]
0xF756  0x1D11E       # MUSICAL SYMBOL G CLEF [とおんきごう]
0xF757  0x1D122       # MUSICAL SYMBOL F CLEF [へおんきごう]
0xF758  0x1D13D       # MUSICAL SYMBOL QUARTER REST [きゅうしふ]
0xF759  0x266E        # MUSIC NATURAL SIGN [なちゅらる]
0xF75A  0xE53E        # [Minor Chord] [まいなーこーど]
0xF75B  0xE53F        # [Major Chord] [めじゃーこーど]
0xF75C  0xE540        # [Suspended Chord] [さすこーど]
0xF75D  0xE541        # [Augmented Chord] [おーぐめんと]
0xF75E  0xE542        # [Diminished Chord] [でぃみにっしゅ]
